"Subject" "Emotion" "Memory" "Test.Tag"
"1" 1 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_0.png"
"2" 1 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_3.png"
"3" 1 "Happy" "Happiness\Female\HF_1.png" "Happiness\Female\HF_1.png"
"4" 1 "Anger" "Anger\Male\AM_3.png" "Anger\Male\AM_3.png"
"5" 1 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_6.png"
"6" 1 "Anger" "Anger\Female\AF_6.png" "Anger\Female\AF_5.png"
"7" 1 "Fear" "Fear\Male\FM_6.png" "Fear\Male\FM_7.png"
"8" 1 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_0.png"
"9" 1 "Happy" "Happiness\Male\HM_6.png" "Happiness\Male\HM_7.png"
"10" 1 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"11" 1 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_3.png"
"12" 1 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_7.png"
"13" 1 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_5.png"
"14" 1 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_3.png"
"15" 1 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_6.png"
"16" 1 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_6.png"
"17" 1 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_3.png"
"18" 1 "Happy" "Happiness\Female\HF_4.png" "Happiness\Female\HF_3.png"
"19" 1 "Anger" "Anger\Female\AF_0.png" "Anger\Female\AF_2.png"
"20" 1 "Fear" "Fear\Male\FM_1.png" "Fear\Male\FM_0.png"
"21" 1 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_7.png"
"22" 1 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_2.png"
"23" 1 "Anger" "Anger\Female\AF_1.png" "Anger\Female\AF_1.png"
"24" 1 "Happy" "Happiness\Male\HM_1.png" "Happiness\Male\HM_1.png"
"25" 1 "Anger" "Anger\Female\AF_5.png" "Anger\Female\AF_5.png"
"26" 1 "Anger" "Anger\Male\AM_2.png" ""
"27" 1 "Anger" "Anger\Male\AM_1.png" "Anger\Male\AM_1.png"
"28" 1 "Fear" "Fear\Female\FF_2.png" "Fear\Female\FF_3.png"
"29" 1 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_3.png"
"30" 1 "Fear" "Fear\Female\FF_4.png" "Fear\Female\FF_6.png"
"31" 1 "Happy" "Happiness\Male\HM_3.png" "Happiness\Male\HM_0.png"
"32" 1 "Happy" "Happiness\Male\HM_7.png" "Happiness\Male\HM_7.png"
"33" 1 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_2.png"
"34" 1 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_0.png"
"35" 1 "Fear" "Fear\Male\FM_7.png" "Fear\Male\FM_2.png"
"36" 1 "Happy" "Happiness\Male\HM_5.png" "Happiness\Male\HM_3.png"
"37" 1 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_5.png"
"38" 1 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"39" 1 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_4.png"
"40" 1 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_4.png"
"41" 1 "Anger" "Anger\Male\AM_7.png" "Anger\Male\AM_6.png"
"42" 1 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_0.png"
"43" 1 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_4.png"
"44" 1 "Happy" "Happiness\Female\HF_0.png" "Happiness\Female\HF_1.png"
"45" 1 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_5.png"
"46" 1 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_5.png"
"47" 1 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_6.png"
"48" 1 "Happy" "Happiness\Female\HF_7.png" "Happiness\Female\HF_3.png"
